course_id,course_rating
2,4.6098
3,4.7027
4,4.8929
5,4.9118
7,4.8539
11,4.6429
12,4.4000
13,4.8454
14,4.8261
15,4.7059
16,4.8319
19,5.0000
20,4.9385
21,4.8225
22,4.8406
23,4.7882
24,4.6769
25,4.8571
26,4.7778
27,4.6923
28,4.6122
29,4.8421
30,4.9070
32,4.8125
33,4.9231
34,4.5833
35,4.7387
36,4.6000
37,4.8302
39,4.7818
41,4.7500
42,4.7425
43,4.5714
44,4.8750
45,4.7778
46,4.7662
48,4.2500
49,4.8750
50,4.7368
51,4.6667
52,4.7500
53,4.6923
54,4.7778
55,4.7333
57,1.0000
59,4.5000
66,3.0000
67,4.6111
